total_packets,total_bytes,unique_src_ips,max_per_src,avg_pkt_size,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,src_entropy,label
4569,4181995,296,46,826.168750,0.989552,0.010448,0.000000,0.121274,0.898404,1
165,92172,7,67,525.281685,0.931488,0.024053,0.044046,0.062716,0.350403,0
105,50080,8,23,422.331842,0.829617,0.062373,0.046871,0.089753,0.206422,0
15157,13221881,553,58,735.557517,0.953599,0.021020,0.005691,0.161262,0.791797,1
88,63838,12,18,617.806873,0.858714,0.141286,0.000000,0.030945,0.194465,0
505,384617,13,93,734.039913,0.974870,0.025130,0.000000,0.024518,0.574407,0
233,148527,13,51,641.510907,0.974620,0.025380,0.000000,0.021058,0.241059,0
459,246219,1,459,609.752011,0.785048,0.033982,0.033473,0.072037,0.258982,0
3795,2312837,6,2549,510.651133,0.948745,0.027245,0.015518,0.111072,0.345630,1
6304,2701861,179,125,407.088581,0.037803,0.962197,0.000000,0.059715,0.903478,1
13463,20904063,1917,22,1237.445553,0.900571,0.010765,0.001783,0.137316,0.757725,1
276,138342,16,33,437.262359,0.778629,0.079924,0.044474,0.091764,0.585319,0
337,174304,11,39,587.896560,0.964675,0.035325,0.000000,0.069733,0.274657,0
335,225214,2,300,560.707115,0.846270,0.083772,0.001766,0.087888,0.436021,0
8171,9732208,211,108,982.834622,0.921533,0.000017,0.003149,0.199427,0.906339,1
321,210693,1,321,754.062101,0.935428,0.064572,0.000000,0.013103,0.500280,0
8304,7466264,50,584,875.907859,0.964910,0.002818,0.018368,0.115834,0.977274,1
308,259659,13,32,817.969943,0.854695,0.078424,0.024981,0.072357,0.327844,0
1200,530414,13,136,504.623954,0.945048,0.054952,0.000000,0.080587,0.442573,0
123,62099,7,54,627.346574,0.975990,0.024010,0.000000,0.050946,0.465149,0
200,83320,12,52,507.049662,0.781594,0.048056,0.020460,0.072634,0.599310,0
9655,14172507,249,151,1171.267190,0.933133,0.040398,0.013864,0.196055,0.721545,1
235,148084,1,235,540.763123,0.952916,0.043400,0.003388,0.119689,0.348497,0
308,167480,1,308,603.577253,0.754458,0.112490,0.049995,0.048496,0.475072,0
436,169914,14,71,463.628602,0.948732,0.051268,0.000000,0.027892,0.178855,0
450,74267,8,137,155.247942,0.845047,0.045641,0.018089,0.093209,0.462704,0
112,49700,11,33,493.100005,0.851920,0.148080,0.000000,0.015565,0.647641,0
15283,4511208,130,464,308.044043,0.068711,0.931289,0.000000,0.002381,0.746011,1
244,127774,14,56,499.338479,0.771379,0.164843,0.009143,0.054086,0.623155,0
3498,1335169,190,32,296.576255,0.099050,0.900950,0.000000,0.044358,0.892876,1
7648,3281039,227,106,430.981791,0.095105,0.904895,0.000000,0.029972,0.761759,1
16968,13495114,6,7991,824.022927,0.986854,0.013146,0.000000,0.173422,0.501023,1
8575,3832071,127,182,396.309385,0.091748,0.732453,0.015015,0.045639,0.836717,1
14237,10961204,161,152,788.045650,0.939812,0.000363,0.017397,0.032597,0.865937,1
217,129041,4,109,532.713558,0.955965,0.044035,0.000000,0.019348,0.534477,0
12876,894444,1,4973,60.000000,0.962329,0.037671,0.000000,0.683468,0.558280,1
11629,686311,313,122,60.000000,0.970317,0.029683,0.000000,0.640234,0.869338,1
9291,2580319,245,135,301.964788,0.107394,0.892606,0.000000,0.050452,0.829177,1
9018,16671083,357,48,1524.453572,0.971909,0.028091,0.000000,0.195439,0.733057,1
3717,1421525,523,21,379.014079,0.233237,0.766763,0.000000,0.052165,0.829110,1
258,209916,1,258,769.987564,0.788694,0.161045,0.008463,0.089234,0.394158,0
310,252512,10,98,739.572203,0.969289,0.030711,0.000000,0.070075,0.451626,0
13366,13672774,1,11936,1109.938157,0.920611,0.043972,0.006855,0.057047,0.520581,1
8064,3740167,113,190,452.498077,0.033064,0.966936,0.000000,0.063848,0.843546,1
13419,9468629,131,343,691.362892,0.979891,0.020109,0.000000,0.055513,0.735282,1
5873,9010968,817,25,1206.734547,0.900508,0.027980,0.018750,0.027189,0.784323,1
4534,3861817,592,27,890.151070,0.989192,0.010808,0.000000,0.162417,0.836862,1
531,298851,2,396,649.305032,0.929659,0.061065,0.008223,0.094857,0.164678,0
4202,4311892,191,53,1054.014890,0.923656,0.016164,0.019171,0.081757,0.812166,1
5507,3255909,2,2188,522.582342,0.120722,0.879278,0.000000,0.026492,0.381721,1
14723,5720050,76,363,368.958313,0.134583,0.865417,0.000000,0.062193,0.840672,1
215,77956,5,114,411.360215,0.810716,0.102821,0.045267,0.103071,0.196149,0
14850,1460727,297,164,91.938192,0.909377,0.082007,0.003314,0.647069,0.775390,1
3815,390333,2,2990,87.818973,0.915058,0.051041,0.011904,0.765932,0.445614,1
68,35981,4,35,641.053997,0.979108,0.020892,0.000000,0.104686,0.155741,0
364,220051,11,115,732.325114,0.964954,0.023114,0.011142,0.013491,0.352433,0
6111,8823093,147,80,1222.015999,0.940918,0.002786,0.019612,0.078333,0.883029,1
4466,1609875,1926,20,348.980708,0.142275,0.857725,0.000000,0.028450,0.958380,1
467,316473,9,161,578.399981,0.811513,0.044279,0.035135,0.043988,0.319912,0
6684,2835214,1023,20,437.249408,0.255465,0.744535,0.000000,0.061889,0.919509,1
212,108576,6,112,564.704853,0.976662,0.023338,0.000000,0.115905,0.542846,0
10692,605061,1252,20,62.329139,0.952890,0.047110,0.000000,0.891230,0.903462,1
125,96967,5,76,737.185682,0.932815,0.067185,0.000000,0.049502,0.422259,0
15978,17230692,3,6919,1125.525311,0.914466,0.057874,0.000106,0.036396,0.232016,1
5068,2635885,567,27,542.940060,0.980067,0.019933,0.000000,0.133708,0.860059,1
13651,1184466,500,84,80.848797,0.881870,0.025865,0.011641,0.820993,0.873138,1
204,174281,18,38,716.371980,0.765853,0.098368,0.014115,0.102933,0.297650,0
444,187327,3,388,505.718582,0.933553,0.066447,0.000000,0.026964,0.505839,0
7727,1927880,5,3235,219.963664,0.052253,0.659906,0.014529,0.015552,0.269659,1
5688,2107202,572,25,294.182748,0.276606,0.723394,0.000000,0.073100,0.810410,1
9012,1032556,463,42,97.298450,0.937545,0.051661,0.008635,0.813683,0.752640,1
117,53076,20,9,411.659343,0.867098,0.105015,0.001263,0.025074,0.296520,0
166,142219,4,77,796.569794,0.838910,0.040952,0.028613,0.116141,0.578556,0
86,39569,13,22,550.016102,0.942270,0.057730,0.000000,0.119953,0.480141,0
8029,5101049,10,4428,491.732823,0.045569,0.954431,0.000000,0.078219,0.554313,1
14108,1575722,290,189,118.278376,0.874056,0.085971,0.012326,0.617525,0.942396,1
6135,3237287,703,22,510.401700,0.183054,0.816946,0.000000,0.051767,0.915329,1
16751,2390457,8,14095,125.183826,0.926995,0.050469,0.014818,0.779577,0.420033,1
300,151272,11,44,528.841947,0.896165,0.103835,0.000000,0.119989,0.425456,0
5351,529473,2,3900,101.441087,0.961715,0.038285,0.000000,0.785731,0.458396,1
177,88935,17,35,436.587484,0.750336,0.134888,0.042450,0.089994,0.187975,0
4815,4874420,142,83,1078.743086,0.982953,0.017047,0.000000,0.084628,0.775174,1
8601,885950,108,306,79.694735,0.928231,0.006701,0.021280,0.638026,0.862433,1
22775,2491415,284,212,101.166378,0.947946,0.052054,0.000000,0.929434,0.747824,1
8660,4600646,3,3663,478.124854,0.966843,0.033157,0.000000,0.070361,0.417770,1
102,63285,6,34,647.132981,0.843386,0.117350,0.038880,0.034844,0.492021,0
106,27798,18,19,258.502748,0.776529,0.194376,0.005195,0.115879,0.266733,0
6102,5691413,137,135,1032.308424,0.947745,0.052255,0.000000,0.196604,0.873917,1
18536,12596410,441,106,691.237198,0.980679,0.008374,0.006428,0.035494,0.956035,1
506,321550,2,506,691.501761,0.769493,0.035450,0.005893,0.043592,0.241522,0
7869,3554591,731,20,475.053271,0.112459,0.887541,0.000000,0.016177,0.796201,1
145,39942,6,58,328.659480,0.759787,0.050169,0.043406,0.107631,0.387750,0
166,48600,7,70,336.506145,0.856863,0.142124,0.000640,0.099265,0.181550,0
6911,4189491,494,34,484.439842,0.039417,0.960583,0.000000,0.070533,0.804791,1
224,153599,13,55,622.302480,0.768830,0.094882,0.035188,0.018591,0.426084,0
5972,2125635,350,59,351.919076,0.023082,0.976918,0.000000,0.058016,0.880273,1
4627,3400779,191,39,653.404736,0.179388,0.820612,0.000000,0.024003,0.927869,1
339,155266,12,53,571.034120,0.832781,0.061256,0.006625,0.030613,0.370422,0
12081,6165897,350,134,405.840536,0.193431,0.661234,0.002844,0.047531,0.724188,1
91,72570,10,26,817.050142,0.894458,0.038761,0.020585,0.085522,0.579981,0
14471,5833567,107,282,373.435109,0.054668,0.817475,0.037828,0.075307,0.908812,1
12908,1731329,164,229,114.275751,0.861086,0.080154,0.009012,0.973200,0.854278,1
15006,6877820,2,8229,379.993278,0.910655,0.019056,0.017593,0.150874,0.364501,1
127,83773,9,24,629.618801,0.817874,0.088279,0.027534,0.016708,0.289888,0
4203,1463419,3,2135,342.274232,0.186212,0.813788,0.000000,0.050182,0.377544,1
14634,14440779,101,327,969.047239,0.901118,0.043907,0.018999,0.043888,0.896925,1
2479,2671428,198,35,1066.048096,0.920289,0.021163,0.005347,0.142441,0.734359,1
152,52183,5,98,420.980605,0.826244,0.055140,0.037287,0.111292,0.598516,0
4170,4422420,638,24,1171.618278,0.986103,0.013897,0.000000,0.119382,0.932395,1
99,43198,8,23,517.742883,0.968229,0.031771,0.000000,0.098448,0.314771,0
19097,1608059,569,111,67.754711,0.873791,0.097014,0.024962,0.587184,0.906130,1
8964,5431871,6,5075,641.305838,0.200871,0.799129,0.000000,0.024185,0.209974,1
12205,12170091,412,85,911.738556,0.910357,0.003638,0.009296,0.093274,0.919860,1
12184,9207367,1201,32,622.009709,0.054562,0.945438,0.000000,0.043051,0.798839,1
635,283013,13,88,375.732701,0.935886,0.064114,0.000000,0.057913,0.509513,0
148,87417,8,64,600.681962,0.979102,0.020898,0.000000,0.039172,0.616630,0
5650,2815377,10,4202,421.479279,0.248358,0.749896,0.001193,0.021957,0.564953,1
137,72359,10,37,528.723783,0.773608,0.088344,0.027857,0.010019,0.195448,0
23457,12898792,962,61,448.449114,0.110374,0.889626,0.000000,0.027798,0.701302,1
437,152349,6,231,332.846130,0.882791,0.117209,0.000000,0.035069,0.294694,0
14981,14664603,761,46,780.863475,0.987513,0.012487,0.000000,0.134364,0.870389,1
290,197643,10,73,645.032221,0.899760,0.100240,0.000000,0.080289,0.399019,0
516,304750,1,516,552.868232,0.766094,0.136205,0.016510,0.044531,0.574008,0
15637,7546632,519,60,471.244811,0.080094,0.919906,0.000000,0.046007,0.977504,1
131,96670,5,73,640.505316,0.813542,0.011929,0.047403,0.019417,0.510037,0
6704,3199013,175,118,491.646941,0.107210,0.889246,0.002558,0.019594,0.776121,1
8481,645272,536,53,60.000000,0.884957,0.061860,0.004680,0.595876,0.851613,1
19417,2278569,119,620,108.875334,0.947584,0.000843,0.013881,0.952587,0.800190,1
166,65317,9,35,451.275166,0.800375,0.180195,0.015127,0.016445,0.645766,0
126,85077,8,21,567.478945,0.870994,0.106392,0.022350,0.070957,0.345227,0
265,126291,15,48,539.878661,0.968582,0.031418,0.000000,0.034521,0.367230,0
176,68274,11,55,362.767146,0.772636,0.086498,0.016965,0.104784,0.272328,0
194,117538,7,68,519.590141,0.928368,0.071632,0.000000,0.049519,0.280781,0
276,144299,14,37,544.065241,0.779276,0.089885,0.047018,0.084505,0.593403,0
127,112240,11,31,766.547076,0.858235,0.111971,0.025240,0.057402,0.589228,0
329,116641,1,329,406.298870,0.896000,0.103428,0.000052,0.048276,0.316654,0
6260,4715091,1187,20,662.452549,0.968134,0.009602,0.000558,0.163388,0.730924,1
89,53408,9,14,567.676049,0.856191,0.019554,0.018955,0.033283,0.313423,0
10840,653742,155,120,64.175997,0.970351,0.029649,0.000000,0.599297,0.785902,1
250,107048,13,32,443.124444,0.846633,0.153367,0.000000,0.086508,0.572366,0
108,77119,13,28,741.317752,0.757525,0.080401,0.022169,0.114561,0.571725,0
12246,7869641,478,55,503.758387,0.163282,0.836718,0.000000,0.058560,0.765525,1
8116,8522303,114,144,830.355203,0.904776,0.006761,0.002984,0.171881,0.770387,1
142,101364,10,48,784.669307,0.877273,0.122727,0.000000,0.105531,0.395439,0
9051,7350777,164,167,682.264770,0.949277,0.005108,0.004201,0.153457,0.770768,1
5410,1701017,1444,20,309.751241,0.138617,0.861383,0.000000,0.053273,0.914121,1
8237,3202286,70,441,408.676776,0.223165,0.682407,0.024360,0.026468,0.788980,1
202,128720,4,134,666.354409,0.941941,0.058059,0.000000,0.086854,0.514979,0
289,207409,9,98,763.952035,0.850986,0.149014,0.000000,0.036064,0.555351,0
5187,5054073,1,3903,906.951086,0.921884,0.047822,0.001210,0.076100,0.324475,1
4436,4440172,784,20,886.187361,0.942652,0.017390,0.018880,0.196524,0.892961,1
100,33744,7,27,404.379790,0.979907,0.020093,0.000000,0.094608,0.561670,0
386,214004,10,101,642.454049,0.905013,0.061700,0.022034,0.063423,0.371022,0
44019,3605858,436,301,63.285755,0.871274,0.018793,0.003946,0.561265,0.764655,1
26947,28667703,256,256,902.201735,0.971272,0.018784,0.001868,0.158624,0.861702,1
5780,6783973,338,36,994.788094,0.936754,0.051774,0.000642,0.116025,0.777765,1
4989,2783569,318,27,568.352537,0.954270,0.036470,0.008027,0.196431,0.859464,1
98,59511,5,46,582.508530,0.838595,0.119552,0.010661,0.087966,0.150846,0
319,136036,6,101,444.999033,0.828088,0.073283,0.008407,0.066153,0.207013,0
19509,19512857,2,8411,1017.619529,0.952307,0.038286,0.007437,0.136953,0.370009,1
175,108442,14,26,678.602232,0.827824,0.123598,0.038338,0.081204,0.174956,0
28161,13929561,80,806,468.412320,0.061083,0.650061,0.007461,0.042500,0.859677,1
7184,6377233,263,46,934.792018,0.963417,0.000798,0.000424,0.156609,0.738516,1
455,357230,5,176,811.288961,0.845739,0.146855,0.002009,0.018568,0.336404,0
492,189721,11,58,441.332831,0.966445,0.033555,0.000000,0.054078,0.185041,0
6675,6205822,7,2264,817.678914,0.931614,0.039674,0.004952,0.136655,0.321965,1
415,221641,6,120,585.219753,0.761416,0.118636,0.041993,0.026895,0.330414,0
96,43491,5,63,526.142452,0.765441,0.168037,0.004662,0.020622,0.519398,0
587,432756,1,587,644.285141,0.835926,0.164074,0.000000,0.021114,0.300883,0
481,180850,6,117,388.787376,0.754797,0.071706,0.040066,0.077994,0.566013,0
48,34840,9,11,711.258327,0.962030,0.037970,0.000000,0.105043,0.288124,0
5453,3492949,6,2919,687.225671,0.944856,0.022284,0.013939,0.025713,0.417277,1
139,80493,17,11,650.887268,0.944436,0.055564,0.000000,0.073151,0.539611,0
115,78174,13,11,681.649074,0.849976,0.090009,0.024212,0.018461,0.269850,0
208,134432,9,49,651.788915,0.907802,0.092198,0.000000,0.018084,0.190395,0
147,89106,9,27,548.036909,0.799669,0.175242,0.008243,0.026231,0.600266,0
376,108725,18,31,312.338931,0.813703,0.026007,0.027670,0.076001,0.437797,0
25439,39431037,7,21060,1472.540325,0.908583,0.038535,0.000747,0.165501,0.373722,1
64,51735,12,6,957.837024,0.822149,0.038772,0.034525,0.055142,0.533486,0
3245,1617198,636,20,414.617962,0.122380,0.789775,0.013778,0.054448,0.855375,1
170,56033,2,170,393.687806,0.813992,0.186008,0.000000,0.114528,0.313645,0
157,113376,13,35,639.299019,0.924683,0.075317,0.000000,0.066680,0.223486,0
7784,887051,580,30,106.116881,0.945691,0.039007,0.004019,0.778090,0.848471,1
613,299416,14,151,432.903829,0.863926,0.017034,0.025115,0.074920,0.576850,0
77,50637,13,16,720.063480,0.861926,0.136755,0.000060,0.053479,0.443662,0
201,136817,16,21,668.662620,0.885531,0.114469,0.000000,0.098640,0.487070,0
4195,1295283,5,2012,288.491079,0.185066,0.814934,0.000000,0.018039,0.434782,1
119,34189,11,30,312.186121,0.935329,0.064671,0.000000,0.116456,0.426643,0
154,121746,21,14,687.116961,0.900751,0.085170,0.012876,0.060474,0.260440,0
6637,7406907,608,20,1070.920420,0.910862,0.013446,0.005156,0.081258,0.893238,1
2000,1364184,157,21,728.031620,0.940888,0.008793,0.008514,0.094170,0.889510,1
487,177287,11,59,385.927231,0.872918,0.051388,0.021482,0.033304,0.282268,0
330,158804,1,330,523.345963,0.926059,0.073941,0.000000,0.098260,0.450017,0
90,60620,1,90,653.274963,0.884210,0.042397,0.031451,0.078171,0.570584,0
4651,2142793,6,3482,435.385157,0.202844,0.753449,0.031051,0.048431,0.408374,1
215,96304,12,28,473.980306,0.799264,0.190057,0.005193,0.034920,0.214783,0
225,129985,16,27,566.750995,0.978764,0.021236,0.000000,0.076597,0.187589,0
8677,12714246,160,152,1229.186354,0.933172,0.034816,0.019235,0.034411,0.870820,1
5775,3743057,279,50,587.269994,0.905839,0.030517,0.015026,0.136113,0.894463,1
16939,7959075,111,563,397.637969,0.040084,0.959916,0.000000,0.051312,0.945778,1
14490,1529586,8,7701,107.759859,0.874869,0.082647,0.018101,0.561541,0.282357,1
14544,15701405,74,386,839.671924,0.967960,0.032040,0.000000,0.159706,0.748663,1
179,77700,4,56,493.349011,0.789291,0.065444,0.004097,0.102815,0.304177,0
4129,612667,81,115,130.482335,0.952945,0.013994,0.005793,0.859488,0.849503,1
302,211131,13,30,610.314547,0.865896,0.064960,0.040789,0.090467,0.303452,0
7979,4478197,341,61,568.436008,0.157776,0.708886,0.007194,0.061497,0.951023,1
79,57893,1,79,857.662811,0.967874,0.032126,0.000000,0.116103,0.634363,0
17322,6970879,6,10701,403.162782,0.220256,0.737785,0.017413,0.050355,0.514886,1
103,79425,10,28,785.325919,0.904638,0.095362,0.000000,0.113432,0.204173,0
18301,1403831,81,711,82.055406,0.850575,0.093234,0.020612,0.805544,0.787495,1
34087,3505587,372,279,95.418588,0.902375,0.055055,0.004030,0.586132,0.819309,1
412,167047,6,101,435.104152,0.831328,0.136415,0.024202,0.105490,0.510530,0
349,308031,16,26,849.731763,0.868536,0.055968,0.007179,0.057216,0.445405,0
189,104646,20,15,571.245485,0.874038,0.125962,0.000000,0.044289,0.627575,0
652,513908,9,252,814.137890,0.837970,0.162030,0.000000,0.051321,0.491365,0
362,237315,6,107,723.517784,0.765593,0.058765,0.005402,0.010141,0.342969,0
136,120733,13,14,832.015426,0.829072,0.112875,0.048535,0.074870,0.420801,0
149,91441,17,17,662.161754,0.964751,0.035249,0.000000,0.023406,0.474311,0
6784,500300,378,60,60.000000,0.877896,0.083228,0.008684,0.760952,0.762866,1
150,46427,10,47,368.783004,0.780909,0.195102,0.010630,0.100841,0.284710,0
311,158902,17,40,544.394576,0.808982,0.101025,0.010103,0.069244,0.602512,0
42,22351,11,6,475.955955,0.755443,0.046695,0.016413,0.105079,0.631445,0
14762,4775922,263,173,332.998951,0.167334,0.712522,0.012438,0.050026,0.800230,1
140,98563,10,44,711.094511,0.766750,0.088744,0.031488,0.031388,0.498177,0
26720,3173951,410,222,121.205994,0.892259,0.080413,0.011831,0.782177,0.750568,1
108,88958,10,16,935.391729,0.914896,0.085104,0.000000,0.045595,0.160956,0
759,548179,9,282,703.785449,0.782348,0.151615,0.011900,0.118062,0.233944,0
4123,1700038,1,3037,348.534070,0.112353,0.700030,0.019567,0.000296,0.524910,1
8541,3141110,7,4488,336.692296,0.139207,0.860793,0.000000,0.017051,0.360125,1
83,44856,12,8,651.106193,0.853616,0.122824,0.006862,0.035462,0.499478,0
3014,2706457,195,51,739.338877,0.101563,0.898437,0.000000,0.034555,0.853483,1
13613,4045283,705,35,322.709066,0.081569,0.918431,0.000000,0.002188,0.812185,1
17787,28011115,293,159,1317.266310,0.913335,0.025313,0.002329,0.182435,0.767936,1
11734,1526913,159,237,108.140427,0.907709,0.015572,0.000317,0.775026,0.837741,1
167,137458,5,76,714.092134,0.768160,0.181528,0.035715,0.065231,0.600228,0
13626,13783757,101,275,1088.406188,0.921341,0.024756,0.003999,0.180446,0.870641,1
257,175678,8,88,572.775515,0.841912,0.153010,0.004904,0.057350,0.155274,0
287,130296,6,116,520.999290,0.871634,0.128366,0.000000,0.010382,0.161368,0
6772,671319,366,60,105.856006,0.940801,0.059199,0.000000,0.865303,0.903525,1
249,197456,2,190,671.397042,0.889742,0.110258,0.000000,0.017396,0.539258,0
212,114500,11,35,590.726415,0.823533,0.112629,0.006919,0.035439,0.494975,0
3603,1764177,287,30,437.943268,0.109076,0.780109,0.019139,0.030525,0.958855,1
398,189162,9,94,436.448393,0.900600,0.039329,0.023475,0.116612,0.319281,0
7332,5022981,275,45,571.489411,0.987860,0.012140,0.000000,0.189155,0.715195,1
4990,7072833,373,51,1222.243122,0.909975,0.014976,0.014271,0.158169,0.826417,1
10889,1321971,90,452,114.832773,0.875168,0.058545,0.026830,0.784955,0.950823,1
8301,8783853,9,5792,974.386172,0.905410,0.012042,0.013931,0.068831,0.565148,1
6137,5756332,2,4454,990.740704,0.948085,0.009958,0.012114,0.053728,0.308599,1
10338,988509,8,8198,104.703527,0.959554,0.023620,0.003042,0.776777,0.535046,1
7154,873737,77,311,117.788590,0.947168,0.043115,0.009524,0.793901,0.899334,1
36466,18260365,98,980,498.724077,0.067252,0.881416,0.020052,0.034312,0.888611,1
32256,3473215,3,19366,104.929287,0.882364,0.038070,0.029298,0.592830,0.383195,1
7565,7184383,534,49,826.572561,0.924239,0.039480,0.006589,0.027892,0.908264,1
263,122701,9,57,524.280853,0.885311,0.053722,0.011011,0.017809,0.465551,0
113,83094,12,19,697.492215,0.835142,0.049806,0.013349,0.113032,0.470018,0
98,35499,10,20,403.849354,0.937794,0.062206,0.000000,0.072024,0.446114,0
137,68074,13,18,549.467988,0.923364,0.076636,0.000000,0.089517,0.149718,0
117,58317,10,26,501.871149,0.850778,0.142385,0.002180,0.043029,0.555093,0
7984,1403437,2053,20,160.422880,0.921598,0.014737,0.013639,0.602542,0.707490,1
190,104587,12,32,600.885107,0.891537,0.057171,0.043265,0.027567,0.309718,0
8086,5052786,437,62,509.998984,0.037485,0.962515,0.000000,0.070089,0.969147,1
352,312040,2,352,775.073001,0.822832,0.146556,0.023247,0.105962,0.167950,0
8815,1184996,50,450,110.295019,0.883058,0.023848,0.004499,0.561913,0.953584,1
10850,957940,301,61,70.038174,0.853461,0.044169,0.007969,0.582632,0.777399,1
8371,8841474,1118,26,918.363494,0.935406,0.009420,0.006936,0.083344,0.875222,1
245,200607,13,27,751.594744,0.808855,0.053920,0.049433,0.042562,0.376139,0
10763,818720,4,6086,77.126344,0.898289,0.030809,0.013367,0.791244,0.265516,1
11869,7415151,6,9277,616.651886,0.047742,0.952258,0.000000,0.043219,0.378223,1
8118,11221234,589,32,1090.081323,0.905962,0.040055,0.015091,0.160827,0.725418,1
5655,1609112,3,2352,271.104501,0.160651,0.807279,0.019393,0.056962,0.212892,1
487,447571,9,97,810.694534,0.959485,0.040515,0.000000,0.052691,0.348677,0
